state_id,party_id,general_votes,postal_votes,total_votes,total_electors
13,349,1631,1,1632,5000847
13,377,12540410,48654,12589064,42438771
13,385,12292,14,12306,7387090
13,395,997,1,998,2370903
13,398,829292,5088,834380,3585664
13,436,4901,16,4917,6335005
13,452,3183,1,3184,3959596
13,457,1888,2,1890,4761336
13,459,1002,4,1006,1909574
13,462,1562,5,1567,1867220
13,466,734,1,735,2161096
13,467,588,1,589,1440380
13,492,3905,2,3907,1733729
13,495,4852,4,4856,3753504
13,515,3902,17,3919,7748733
13,518,33378,50,33428,24538349
13,520,11358,25,11383,7773307
13,521,52439,135,52574,48805497
13,525,4505,20,4525,6050497
13,530,1428,6,1434,1889740
13,535,5813,9,5822,9564939
13,544,6584,23,6607,1909574
13,550,5560,20,5580,7602638
13,554,1234,0,1234,1647350
13,557,4574,2,4576,10156499
13,567,14741,16,14757,16141824
13,579,22602,71,22673,9287372
13,589,273,0,273,2161096
13,591,2198,1,2199,1440380
13,594,1234,4,1238,2045405
13,608,2727,1,2728,4251353
13,609,7067,15,7082,9663404
13,626,1158,0,1158,1732263
13,628,7046,8,7054,12930689
13,660,9477,16,9493,7394961
13,673,1122,13,1135,1743283
13,676,8373,45,8418,1908173
13,681,2757,4,2761,2045405
13,691,12406,1,12407,3532950
13,699,280500,1078,281578,3341861
13,732,20563,57,20620,1916185
13,739,8600,40,8640,11479960
13,744,1811,1,1812,1886284
13,749,546,1,547,2075824
13,757,1408,17,1425,1775051
13,759,475,0,475,1732263
13,767,8958,39,8997,8607801
13,775,3418,15,3433,3755855
13,778,10819,16,10835,4083860
13,780,697,2,699,1908173
13,784,1931,3,1934,4007224
13,801,664,6,670,1931400
13,808,1489,3,1492,1861396
13,813,1289,1,1290,4018253
13,821,1987,0,1987,1985228
13,824,1957,4,1961,1916185
13,846,2133,1,2134,1455577
13,853,12385,45,12430,5739105
13,856,1083,0,1083,1922764
13,861,445,1,446,2075824
13,885,3729081,14479,3743560,86790662
14,80,548860,4517,553377,1959563
14,123,133093,720,133813,937464
14,163,396075,2312,398387,1959563
14,164,84392,1173,85565,4771955
14,179,2879,108,2987,1022099
14,239,1245,11,1256,937464
14,260,2145,407,2552,1022099
14,269,5238,151,5389,1959563
14,271,30261,465,30726,1022099
14,272,362707,820,363527,1022099
14,695,1755,28,1783,937464
14,714,37019,202,37221,1959563
14,783,739,8,747,937464
15,80,107180,1210,108390,1914796
15,163,659452,662,660114,1914796
15,164,16097,45,16142,3593418
15,269,10849,25,10874,1914796
15,271,304185,270,304455,716990
15,415,267080,176,267256,1197806
16,80,27989,718,28707,792464
16,164,229578,1218,230796,2377392
16,269,2493,16,2509,792464
16,692,223509,777,224286,792464
16,740,13211,112,13323,792464
17,163,481915,2251,484166,1213777
17,164,4316,304,4620,1213777
17,269,2009,55,2064,1213777
17,271,14219,778,14997,1213777
17,712,499683,827,500510,1213777
18,1,1009220,6553,1015773,20892673
18,43,2387,13,2400,3300343
18,47,7496,65,7561,6624662
18,80,1311937,13508,1325445,4700659
18,92,5523,73,5596,9567144
18,104,2299,5,2304,1529431
18,110,479004,784,479788,4913394
18,111,6271,219,6490,6359019
18,123,42245,218,42463,3126294
18,124,10542,74,10616,4746386
18,125,10638,27,10665,1698876
18,163,5506338,16728,5523066,20892673
18,164,234488,618,235106,197827639
18,179,2718,8,2726,1529431
18,210,10654,184,10838,6442010
18,260,5399,290,5689,3225296
18,269,153053,1370,154423,20892673
18,286,678,14,692,1621671
18,291,1593,4,1597,1683325
18,292,2820,4,2824,1698876
18,334,1999,10,2009,3124893
18,343,1730,3,1733,1502861
18,368,3766843,11731,3778574,16192014
18,369,52011,174,52185,3151102
18,377,12757,527,13284,8202211
18,386,1394,12,1406,1621671
18,491,1056,16,1072,1618419
18,511,3663,15,3678,1541971
18,535,4883,68,4951,7874606
18,543,4647,354,5001,3071402
18,555,20151,184,20335,11196554
18,592,463,36,499,1595284
18,593,4820,93,4913,4649578
18,609,1428,2,1430,1617018
18,610,866,36,902,1698876
18,614,1010,4,1014,1683325
18,615,21282,124,21406,13072135
18,618,6094,12,6106,1541971
18,640,3507,59,3566,4885062
18,672,468874,910,469784,4715617
18,706,6504,27,6531,6536685
18,709,161388,257,161645,1739600
18,739,5104,74,5178,6541190
18,748,295198,1422,296620,4802484
18,763,3136,24,3160,3212756
18,766,3285,11,3296,1502861
18,784,6373,42,6415,6509878
18,789,15210,64,15274,1595284
18,794,947,5,952,1618419
18,817,10315,109,10424,1698876
18,819,6041,37,6078,7968247
18,828,2845,72,2917,1597500
18,844,941,43,984,1638842
18,856,5082,24,5106,1621671
18,860,935,7,942,1502861
19,47,88266,106,88372,29377102
19,55,887,4,891,1948010
19,80,18847612,120780,18968392,47022644
19,92,28331,145,28476,8019916
19,110,347376,1302,348678,38910624
19,123,46594,25,46619,6028956
19,125,78179,469,78648,7981903
19,152,1743,2,1745,1851628
19,163,11053562,54348,11107910,48955813
19,164,346868,716,347584,219234319
19,169,9520,18,9538,3858903
19,236,1161,0,1161,1948010
19,269,326502,1057,327559,48955813
19,285,624,2,626,1888524
19,293,2782,1,2783,1810574
19,297,2880,0,2880,4109673
19,325,1487,1,1488,1948010
19,339,12283,1,12284,2071244
19,348,1891,1,1892,1945992
19,377,16537,24,16561,8126909
19,549,12366,50,12416,2041612
19,550,1148,6,1154,1948010
19,568,2862,18,2880,3971646
19,579,313545,1713,315258,8017593
19,594,1859,3,1862,2041612
19,619,2548,21,2569,2161663
19,653,1769,5,1774,1851628
19,723,5796,2,5798,1730289
19,739,2748,3,2751,3857310
19,744,3426,18,3444,1888524
19,778,505,1,506,2127021
19,785,655496,4555,660051,1933169
19,787,788,10,798,1937882
19,797,7397,89,7486,1933169
19,804,347,2,349,2127021
19,808,16715,29,16744,5951121
19,825,8003,3,8006,4085470
19,856,2621,2,2623,2127021
19,861,507,1,508,2127021
20,80,16062,510,16572,434128
20,163,3922,68,3990,434128
20,164,2540,60,2600,868256
20,193,377,6,383,434128
20,269,2257,22,2279,434128
20,373,149158,5331,154489,434128
20,382,161143,5779,166922,434128
20,481,392,4,396,434128
20,613,1943,55,1998,434128
20,843,1479,24,1503,434128
20,858,607,7,614,434128
21,17,8286537,20808,8307345,33549424
21,47,4362,136,4498,1500016
21,80,1544517,7407,1551924,7999696
21,110,160685,887,161572,54000246
21,123,1025389,6228,1031617,2833663
21,124,5278,25,5303,3762411
21,125,1012654,6349,1019003,4999180
21,133,926514,3076,929590,6009838
21,134,14274872,88460,14363332,36649039
21,142,5469,13,5482,4428128
21,163,5373145,32529,5405674,13921238
21,164,3103679,9275,3112954,864154228
21,173,467585,2358,469943,1559740
21,188,1248,3,1251,1547800
21,243,3598,1,3599,2253448
21,269,547298,3279,550577,59941832
21,287,2287527,9904,2297431,10921822
21,291,3314,3,3317,2915464
21,292,1888,2,1890,3305833
21,333,665,5,670,1973533
21,334,5151,7,5158,3279170
21,375,23690,51,23741,1332300
21,416,8964,43,9007,8757905
21,421,498401,1828,500229,1480222
21,467,35211,66,35277,11141772
21,472,4262,12,4274,4360392
21,474,967,5,972,1413599
21,476,1632,133,1765,1484256
21,478,643,2,645,1332300
21,482,2731,33,2764,1484256
21,485,1967,32,1999,1473862
21,486,641,2,643,1332300
21,499,5078,11,5089,2867508
21,505,1356,12,1368,2923485
21,582,491,3,494,1427783
21,587,712,7,719,1438643
21,588,593,3,596,1501250
21,591,12787,22,12809,13513342
21,596,3333,4,3337,2896249
21,600,815,5,820,1501250
21,606,11610,21,11631,4361649
21,617,1811,4,1815,3482496
21,620,747,1,748,1364038
21,688,1113,2,1115,3461214
21,690,265,0,265,1438643
21,693,1570656,4984,1575640,55467344
21,701,2904,2,2906,1303649
21,716,2591,6,2597,2975583
21,728,1663978,8239,1672217,58575772
21,744,7255,24,7279,4426166
21,747,3511,10,3521,2923778
21,796,901,0,901,1438643
21,846,4024,20,4044,1561040
21,856,5755,10,5765,6634766
21,868,220417,432,220849,1461052
21,869,37242,114,37356,24228148
21,874,2509,7,2516,1427783
21,875,688,1,689,1427783
21,882,1237,7,1244,1547800
21,889,1101,7,1108,1528938
22,31,8552,61,8613,1352857
22,40,9669,39,9708,2614718
22,47,7121,12,7133,1352857
22,80,1049655,6003,1055658,2614718
22,125,371672,1117,372789,2614718
22,163,542792,2887,545679,2614718
22,164,34218,70,34288,11720733
22,168,88917,612,89529,2614718
22,269,23102,72,23174,2614718
22,856,4517,8,4525,1352857
22,872,2060,16,2076,1352857
23,1,8617,26,8643,7094349
23,8,2099,5,2104,2040367
