candidate,sex,age,general_votes,postal_votes,total_votes,total_electors,state_id,category_id,party_id,pc_id
Beeda Masthan Rao,M,60,529571,5688,535259,1672845,1,3,406,38
Sannapureddy Suresh Reddy,M,58,12278,235,12513,1672845,1,3,80,38
Chinni Venkateswarlu,M,67,836,5,841,1672845,1,3,292,38
Shaik Mahaboob Basha (Mabu),M,35,1317,2,1319,1672845,1,3,334,38
Kankanala Penchala Naidu,M,50,667,1,668,1672845,1,3,164,38
Narasapuram Prasad,M,50,2397,2,2399,1672845,1,3,164,38
Butti Nagaraju,M,49,1089,12,1101,1672845,1,2,164,38
Meda Malla Reddy,M,68,597,1,598,1672845,1,3,164,38
Sukapalli Naveen,M,33,1014,0,1014,1672845,1,3,164,38
Dr. S. Suresh Babu,M,42,1482,0,1482,1672845,1,3,164,38
NOTA,null,null,17128,33,17161,1672845,1,null,269,38
Chintamohan,M,64,23926,113,24039,1650453,1,2,163,39
Doctor Daggumati Sreehari Rao,M,52,20847,124,20971,1650453,1,2,110,39
Panabaka Lakshmi,F,60,490605,3896,494501,1650453,1,2,406,39
Balli Durga Prasad Rao,M,63,717924,4953,722877,1650453,1,2,428,39
Bommi Srihari Rao,M,44,16001,124,16125,1650453,1,2,80,39
Karra Siva (Pyramid Siva),M,29,998,5,1003,1650453,1,2,292,39
"Neeruguttu Nagesh, M.A., Philosophy",M,32,912,1,913,1650453,1,2,650,39
Bokkam. Ramesh,M,43,1194,1,1195,1650453,1,2,421,39
Viruvuru Sudhakar,M,36,995,3,998,1650453,1,2,888,39
M. Solomon,M,65,1563,0,1563,1650453,1,2,49,39
Kattamanchi Prabhakar,M,50,1430,0,1430,1650453,1,2,164,39
K.S. Munirathnam,M,65,2117,2,2119,1650453,1,2,164,39
NOTA,null,null,25750,31,25781,1650453,1,null,269,39
P.V.MIDHUN REDDY,M,42,695277,6934,702211,1546938,1,3,428,40
M.SHAJAHAN BASHA (JAHA),M,48,20959,191,21150,1546938,1,3,163,40
D A SATHYA PRABHA,F,68,429710,4217,433927,1546938,1,3,406,40
ASADI. VENKATADRI,M,60,3449,11,3460,1546938,1,2,325,40
KARIMULLA KHAN PATTAN,M,40,1132,3,1135,1546938,1,3,708,40
KHADER VALI SHAIK,M,35,1555,2,1557,1546938,1,3,173,40
SYED MUKARRAM,M,42,33833,153,33986,1546938,1,3,647,40
NARESH KUMAR POOJALA,M,25,1761,7,1768,1546938,1,3,164,40
PASUPULETI VENKATARAMANA ROYAL,M,42,3809,12,3821,1546938,1,3,164,40
NOTA,null,null,21289,50,21339,1546938,1,null,269,40
CHEEMALA. RANGAPPA,M,60,24497,146,24643,1566499,1,2,163,41
JAYARAM DUGGANI,M,70,10137,359,10496,1566499,1,2,80,41
NARAMALLI SIVA PRASAD,M,67,545374,4147,549521,1566499,1,2,406,41
C. PUNYAMURTHY,M,45,19952,110,20062,1566499,1,2,110,41
N. REDDEPPA,M,68,681325,5467,686792,1566499,1,2,428,41
PALLIPATTU. ABHINAV VISHNU,M,27,3441,4,3445,1566499,1,2,698,41
P. RAMACHANDRAN,M,42,1854,9,1863,1566499,1,2,164,41
A. HEMANTH,M,28,2089,5,2094,1566499,1,2,164,41
NOTA,null,null,20503,53,20556,1566499,1,null,269,41
KIREN RIJIJU,M,47,216494,9302,225796,463775,2,0,80,42
NABAM TUKI,M,51,49362,1591,50953,463775,2,0,163,42
SUBU KECHI,M,45,4633,133,4766,463775,2,0,289,42
JARJUM ETE,F,56,41510,2410,43920,463775,2,0,178,42
JOMIN NYOKIR KARA,M,38,1879,42,1921,463775,2,0,25,42
KHYODA APIK,M,42,26530,589,27119,463775,2,0,271,42
RUMAK JOMOH,M,32,1878,68,1946,463775,2,0,164,42
NOTA,null,null,1837,52,1889,463775,2,null,269,42
Lowangcha Wanglat,M,69,80378,3557,83935,339788,2,0,163,43
Mongol Yomso,M,47,22160,777,22937,339788,2,0,289,43
Tapir Gao,M,54,148567,5316,153883,339788,2,0,80,43
Bandey Mili,M,38,15304,654,15958,339788,2,0,178,43
C. C. Singpho,M,68,10955,538,11493,339788,2,0,164,43
NOTA,null,null,5490,85,5575,339788,2,null,269,43
KRIPANATH MALLAH,M,46,471946,1100,473046,1340173,3,2,80,44
CHANDAN DAS,M,27,4848,22,4870,1340173,3,2,31,44
RADHESHYAM BISWAS,M,66,434519,138,434657,1340173,3,2,32,44
