party_id,party,symbol
769,RBP,Ganna Kisan
770,RD,Latch
771,RDU,Matchbox
772,REALDP,Pen Nib with Seven Rays
773,RGOP,Tractor Chalata Kisan
774,RHSP,Laptop
775,RJANPTY,Cup & Saucer
776,RJANSWP,Pineapple
777,RJAPU,Gas Stove
778,RJBP,Cauliflower
779,RJBVP,Helicopter
780,RJNPTY,Sewing Machine
781,RJPD,FLUTE
782,RJSBHP,COCONUT FARM
783,RJSNP,Coat
784,RJSPS,COCONUT FARM
785,RLTP,Tyres
786,RMEP,Tractor Chalata Kisan
787,RMGLMP,BUCKET
788,RMMP,Matchbox
789,RMPOI,Pot
790,RNNBP,Tennis Racket & Ball 
791,RPB,BOX
792,RPI(KM),Camera
793,RPIK,Cup & Saucer
794,RPIR,Helicopter
795,RPP,Air Conditioner
796,RPSN,DIAMOND
797,RPWP,Cup & Saucer
798,RRS,Gas Cylinder
799,RSDAL,Sewing Machine
800,RSJVP,Balloon
801,RSP(S),Battery Torch
802,RSPSR,Truck
803,RSTSAHP,Helmet
804,RSVP,Trumpet
805,RTAMP,Electric Pole
806,RTBHP,Tiller
807,RTJPS,Saw
808,RTORP,Auto- Rickshaw
809,RTSGP,Envelope
810,RVYP,Peas
811,RVZP,CHESS BOARD
812,SAAFP,Brush
813,SABHP,Camera
814,SABJANP,Electric Pole
815,SACP,Room Cooler
816,SADSP,Auto- Rickshaw
817,SADT,Farmer Ploughing Within Square
818,SAJP,Hat
819,SAKAP,Balloon
820,SAKSP,Saw
821,SANS,Auto- Rickshaw
822,SANVP,Pineapple
823,SAPRP,Electric Pole
824,SARAPA,Sewing Machine
825,SATBP,Black Board
826,SATKP,Pan
827,SAVIPA,Cot
828,SBM,Television
829,SBSPSP,Robot
830,SDC,Hat
831,SDP(MP),Punching Machine
832,SDSP,Ganna Kisan
833,SDU,Wall Hook
834,SFP,Hat
835,SGUP,COMPUTER
836,SHF,Latch
837,SJDD,Ganna Kisan
838,SJPI,Tiller
839,SJPT,Pan
840,SJSMP,Laptop
841,SJVP,Apple
842,SKD,Scissors
843,SKPP,FLUTE
844,SLDP,Batsman
845,SMARTIP,DIAMOND
846,SMFB,Crane
847,SNP,Glass Tumbler
848,SOJP,Pressure Cooker
849,SPAKP,Swing
850,SPL,Tractor Chalata Kisan
851,SPRP,Bat
852,SSBD,Key
853,STBP,Pressure Cooker
854,STBSP,Ganna Kisan
855,STPI,COCONUT FARM
856,SUCI(C),Battery Torch
857,SUSP,Glass Tumbler
858,SUTF,Telephone
859,SVJN,Tractor Chalata Kisan
860,SVJSP,Bicycle Pump
861,SWABP,Pen Nib with Seven Rays
862,SWAJANPA,Swing
863,SWAP,Telephone
864,SWBI,Whistle
865,TELYS,Pot
866,TGPJP,Telephone
867,TJS,BOX
